"UNIT NUMBER","total_predicted_cost","total_actual_cost","avg_repair_duration","work_order_count","last_service_date","strategy","estimated_savings"
"12100107",9198.44326792717,6298.524445,24.4,15,12-09-24,"Monitor Closely",919.844326792717
"12100108",11591.0148689171,12647.864446,24.24,25,11-11-24,"Monitor Closely",1159.10148689171
"12100111",12761.1599831411,10147.172139,8.03703703703704,27,11-05-24,"Monitor Closely",1276.11599831411
"12100129",1160.63218363145,1508.047678,0,7,6-05-24,"Keep as-it is",0
"12100130",1434.6367212939,1184.343755,22,7,10-08-24,"Monitor Closely",143.46367212939
"12100131",2914.66519914118,1994.988598,25.5714285714286,14,8-06-24,"Monitor Closely",291.466519914118
"12100132",985.251988333345,461.786111,22.25,4,12-12-24,"Monitor Closely",98.5251988333345
"12100133",1305.02555821788,1605.848122,0,4,9-10-24,"Keep as-it is",0
"12100134",1049.84394507061,801.916,0,1,2-08-24,"Keep as-it is",0
"12100135",4504.84051958633,4117.788657,195.285714285714,14,9-07-24,"Monitor Closely",450.484051958633
"12100136",6095.48553334046,6301.91331,246.5,12,11-06-24,"Consider Replacement",1523.87138333511
"12100137",2845.84506728307,2328.031999,126.166666666667,6,11-06-24,"Monitor Closely",284.584506728307
"12100138",797.24921250103,989.105167,0,2,9-11-24,"Keep as-it is",0
"12100139",3173.18824983897,3860.428334,61,4,11-05-24,"Monitor Closely",317.318824983897
"12100140",3156.41841870619,778.711666,0,12,10-07-24,"Monitor Closely",315.641841870619
"12100141",1074.09393525331,1416.6523,73,5,12-04-24,"Monitor Closely",107.409393525331
"12100142",751.556496261595,1422.9596,70.6666666666667,3,8-07-24,"Monitor Closely",75.1556496261595
"12100143",2256.53596670645,2257.8213,6.77777777777778,9,11-01-24,"Keep as-it is",0
"12100144",1491.2127907605,1230.625,0,6,12-10-24,"Keep as-it is",0
"12100145",2842.06665405383,4152.7174,9.77777777777778,9,12-11-24,"Keep as-it is",0
"12100146",2711.88916898605,2305.5299,2.72727272727273,11,12-03-24,"Keep as-it is",0
"12100147",2931.41752868804,3860.0088,0,5,12-04-24,"Keep as-it is",0
"12100148",577.105042265857,803.951225,15,2,12-10-24,"Keep as-it is",0
"12100149",4518.63304206402,3288.3861,0,9,12-05-24,"Monitor Closely",451.863304206402
"12100150",5331.03901462973,3277.254825,11.9230769230769,13,11-12-24,"Monitor Closely",533.103901462973
"12100151",3175.92815050544,4716.88315,0,10,12-05-24,"Monitor Closely",317.592815050544
"12100152",2252.39077643755,2466.941533,30.6,10,12-06-24,"Monitor Closely",225.239077643755
"12100153",5328.96549440362,5163.56425,69,12,11-05-24,"Consider Replacement",1332.2413736009
"12100154",2485.57064750174,2740.1889,4.28571428571429,7,11-06-24,"Keep as-it is",0
"12100155",4907.87769285039,4639.035714,4.06666666666667,15,12-04-24,"Monitor Closely",490.787769285039
"12100156",3673.59241788794,3401.9976,24.1111111111111,9,8-10-24,"Monitor Closely",367.359241788794
"12100157",439.845350180459,420.125,0,5,8-06-24,"Keep as-it is",0
"12100158",808.321949273017,514.7629,39.3333333333333,3,10-04-24,"Monitor Closely",80.8321949273017
"12100159",8318.61799654001,10041.861875,14.3333333333333,15,12-12-24,"Monitor Closely",831.861799654001
"12100160",3369.96784895045,3936.7017,0,9,9-06-24,"Monitor Closely",336.996784895045
"12100161",1358.59169191115,2018.33375,101.333333333333,3,12-02-24,"Monitor Closely",135.859169191115
"12100162",3371.33710179743,2433.5807,30.3,10,9-03-24,"Monitor Closely",337.133710179743
"12100163",5099.07484322876,3628.806521,66.7272727272727,11,11-04-24,"Monitor Closely",509.907484322876
"12100164",1809.99224971626,2076.82055,122,6,9-06-24,"Monitor Closely",180.999224971626
"12100165",5707.7486724483,5795.341111,11.375,8,12-02-24,"Monitor Closely",570.77486724483
"12100166",2957.89049469558,2485.511406,0,5,12-03-24,"Keep as-it is",0
"12100167",3183.31662064952,1222.739606,19.125,8,12-09-24,"Monitor Closely",318.331662064952
"12100168",670.45376175575,1310.948258,0,4,12-04-24,"Keep as-it is",0
"12100169",4247.27838360503,5714.943897,0,7,11-12-24,"Monitor Closely",424.727838360503
"12100170",2486.21687154356,1503.149295,36.8,5,9-05-24,"Monitor Closely",248.621687154356
"12100171",2429.16050647833,1389.78188,5.16666666666667,6,12-12-24,"Keep as-it is",0
"12100172",11926.2430014348,11449.576914,23.4333333333333,30,12-09-24,"Monitor Closely",1192.62430014348
"12100173",4678.30925194685,4423.80735,6.44444444444445,9,12-02-24,"Monitor Closely",467.830925194685
"12100174",3450.83813628278,2429.264292,21.4285714285714,7,12-11-24,"Monitor Closely",345.083813628278
"12100175",625.327447937709,344.619445,46,4,12-06-24,"Monitor Closely",62.532744793771
"12100176",4324.16097464264,4278.276917,57.5555555555556,9,12-03-24,"Monitor Closely",432.416097464265
"12100177",2647.24458165499,2633.760553,142.166666666667,6,12-06-24,"Monitor Closely",264.724458165499
"12100178",1929.93624600583,1183.0249,60.4,5,11-04-24,"Monitor Closely",192.993624600583
"12100179",1017.9787644312,861.013165,3.44444444444445,9,12-10-24,"Keep as-it is",0
"12100180",1820.45514251228,2704.013537,27.4,10,12-10-24,"Monitor Closely",182.045514251228
